timestamp,value
2026-02-01 13:00:00,34.0
2026-02-01 14:00:00,42.0
2026-02-01 15:00:00,34.0
2026-02-01 16:00:00,34.0
2026-02-01 17:00:00,40.0
2026-02-01 18:00:00,41.0
2026-02-01 19:00:00,47.0
2026-02-01 20:00:00,76.0
2026-02-01 21:00:00,71.0
2026-02-01 22:00:00,83.0
2026-02-01 23:00:00,76.0
2026-02-02 00:00:00,74.0
2026-02-02 01:00:00,60.0
2026-02-02 02:00:00,66.0
2026-02-02 03:00:00,73.0
2026-02-02 04:00:00,65.0
2026-02-02 05:00:00,59.0
2026-02-02 06:00:00,67.0
2026-02-02 07:00:00,92.0
2026-02-02 08:00:00,98.0
2026-02-02 09:00:00,136.0
2026-02-02 10:00:00,113.0
2026-02-02 11:00:00,69.0
2026-02-02 12:00:00,62.0
2026-02-02 13:00:00,48.0
2026-02-02 14:00:00,27.0
2026-02-02 15:00:00,30.0
2026-02-02 16:00:00,29.0
2026-02-02 17:00:00,30.0
2026-02-02 18:00:00,37.0
2026-02-02 19:00:00,48.0
2026-02-02 20:00:00,60.0
2026-02-02 21:00:00,75.0
2026-02-02 23:00:00,78.0
2026-02-03 00:00:00,53.0
2026-02-03 01:00:00,55.0
2026-02-03 02:00:00,54.0
2026-02-03 03:00:00,55.0
2026-02-03 04:00:00,48.0
2026-02-03 05:00:00,35.0
2026-02-03 06:00:00,58.0
2026-02-03 07:00:00,76.0
2026-02-03 08:00:00,80.0
2026-02-03 09:00:00,111.0
2026-02-03 10:00:00,84.0
2026-02-03 11:00:00,47.0
2026-02-03 12:00:00,30.0
2026-02-03 13:00:00,30.0
2026-02-03 13:00:00,30.0
2026-02-03 13:00:00,30.0
2026-02-03 13:00:00,30.0
2026-02-03 13:00:00,30.0
2026-02-03 13:00:00,30.0
2026-02-03 13:00:00,30.0
2026-02-03 13:00:00,30.0
2026-02-03 13:00:00,30.0
2026-02-03 13:00:00,30.0
